"current.0","current.1","current.2","current.3","current.4","current.5","current.6"
-7.886279999999999291e+00,0.000000000000000000e+00,-6.782200799999999674e+01,-2.050432800000000100e+01,-3.154512000000000427e+00,7.886279999999999291e+00,-1.072534079999999932e+02
-1.419530400000000014e+01,-4.731767999999999752e+00,-5.204944800000000527e+01,-1.104079199999999972e+01,-1.577256000000000036e+01,-1.261804800000000171e+01,-9.778987200000000257e+01
1.261804799999999993e+01,-1.577255999999999991e+00,-7.097651999999999362e+01,-1.892707199999999901e+01,4.731767999999999752e+00,-4.731767999999999752e+00,-1.104079200000000043e+02
0.000000000000000000e+00,-4.731767999999999752e+00,-8.359456800000000953e+01,-1.261804799999999993e+01,4.731767999999998864e+00,-1.577256000000001990e+00,-1.135624319999999869e+02
1.261804799999999993e+01,-1.104079199999999972e+01,-6.309024000000000143e+01,-6.309023999999999077e+00,1.261804800000000171e+01,-1.104079199999999972e+01,-1.198714559999999949e+02
1.261804799999999993e+01,-9.463535999999999504e+00,-4.258591200000000043e+01,-3.154511999999999983e+00,-1.577255999999999991e+00,2.208158399999999943e+01,-1.151396880000000067e+02
-7.886279999999999291e+00,-6.309023999999999965e+00,-5.520396000000000925e+01,-9.463535999999999504e+00,2.050432800000000100e+01,1.104079199999999972e+01,-1.088306640000000129e+02
4.731767999999999752e+00,-1.419530400000000014e+01,-5.520396000000000214e+01,3.154511999999999983e+00,-1.577256000000000036e+01,-3.154512000000000427e+00,-1.151396880000000067e+02
7.886280000000001067e+00,-4.731767999999999752e+00,-5.204944800000000527e+01,-1.261804799999999993e+01,2.208158400000000299e+01,-3.154511999999999539e+00,-1.167169440000000122e+02
-6.309023999999999077e+00,4.731767999999999752e+00,-4.574042400000000441e+01,7.886279999999999291e+00,-1.577255999999999769e+00,1.577255999999999858e+01,-1.151396880000000067e+02
-4.731767999999999752e+00,-3.154511999999999539e+00,-6.466749599999999987e+01,3.154511999999999983e+00,-1.734981599999999702e+01,1.577256000000000036e+01,-1.151396879999999925e+02
-6.309023999999999965e+00,1.892707199999999901e+01,-7.255377599999999916e+01,-1.419530400000000014e+01,-1.892707199999999901e+01,-7.886279999999999291e+00,-1.419530400000000157e+02
-3.627688799999999958e+01,-7.886279999999999291e+00,-5.520396000000000214e+01,0.000000000000000000e+00,7.886279999999999291e+00,-6.309024000000000854e+00,-1.419530399999999872e+02
-6.309023999999999077e+00,-1.104079199999999972e+01,-6.624475200000000541e+01,-2.839060800000000029e+01,1.734981599999999702e+01,1.577256000000000036e+01,-9.778987200000000257e+01
-2.050432800000000100e+01,-3.154512000000000427e+00,-8.044005599999999845e+01,3.154511999999999539e+00,-1.734981600000000057e+01,1.734981600000000412e+01,-9.621261600000001124e+01
-3.154511999999999983e+00,7.886280000000000179e+00,-5.993572800000000456e+01,-2.681335200000000185e+01,-1.104079200000000149e+01,1.419530399999999837e+01,-1.230259680000000060e+02
-1.734981600000000057e+01,-4.731767999999998864e+00,-7.255377599999999916e+01,-1.577255999999999991e+00,3.154511999999999539e+00,1.261804799999999993e+01,-9.463536000000000570e+01
1.577255999999999991e+00,-1.261804799999999993e+01,-7.255377599999999916e+01,-2.050432800000000100e+01,0.000000000000000000e+00,3.154511999999999539e+00,-9.621261599999999703e+01
-1.892707199999999901e+01,-4.731767999999999752e+00,-5.993572799999999745e+01,-4.731767999999999752e+00,1.577256000000000036e+01,-3.154511999999998650e+00,-1.135624320000000012e+02
-2.050432800000000100e+01,-1.577256000000000213e+00,-8.517182400000000086e+01,-2.839060800000000029e+01,3.154511999999999539e+00,7.886279999999999291e+00,-1.277577359999999942e+02
7.886280000000000179e+00,-1.419530400000000014e+01,-5.047219199999999972e+01,7.886279999999999291e+00,-1.734981599999999702e+01,-7.886279999999999291e+00,-1.151396880000000067e+02
-3.154511999999999983e+00,-1.734981600000000057e+01,-4.258591200000000043e+01,0.000000000000000000e+00,-1.892707199999999901e+01,-1.261804800000000171e+01,-1.040988959999999963e+02
1.104079199999999972e+01,1.577255999999999325e+00,-7.886279999999999291e+01,3.154511999999999539e+00,-7.886279999999999291e+00,-1.577256000000001990e+00,-1.293349919999999997e+02
-2.365883999999999787e+01,4.731767999999999752e+00,-7.413103200000000470e+01,7.886279999999999291e+00,2.208158399999999943e+01,-1.577256000000000213e+00,-1.214487120000000004e+02
-1.577255999999999769e+00,-6.309023999999999077e+00,-6.782200799999999674e+01,1.261804799999999815e+01,-1.577255999999999858e+01,-4.731767999999998864e+00,-1.104079200000000043e+02
-1.892707199999999901e+01,1.577255999999999991e+00,-5.993572800000000456e+01,-1.577256000000000213e+00,1.261804799999999815e+01,1.577256000000000213e+00,-9.778987200000000257e+01
3.154511999999998650e+00,-9.463535999999999504e+00,-6.466749599999999987e+01,3.154511999999999983e+00,-2.839060800000000029e+01,-1.734981600000000057e+01,-1.104079199999999901e+02
-1.261804799999999993e+01,4.731767999999998864e+00,-7.413103200000000470e+01,-7.886279999999999291e+00,-1.577255999999999991e+00,7.886279999999999291e+00,-1.167169440000000122e+02
1.577255999999999325e+00,-1.734981600000000057e+01,-6.151298400000000299e+01,-3.154511999999999539e+00,-1.892707199999999901e+01,-1.419530400000000014e+01,-1.151396880000000067e+02
-9.463535999999999504e+00,-1.104079199999999972e+01,-7.413103200000000470e+01,-7.886279999999999291e+00,-2.050432800000000100e+01,1.261804800000000171e+01,-8.990359200000000328e+01
7.886279999999999291e+00,0.000000000000000000e+00,-5.678121600000000768e+01,-6.309023999999999077e+00,-2.681335200000000185e+01,6.309023999999999965e+00,-9.463535999999999149e+01
-6.309023999999999077e+00,-1.734981600000000057e+01,-6.309024000000000143e+01,0.000000000000000000e+00,-1.892707199999999901e+01,0.000000000000000000e+00,-1.072534080000000074e+02
0.000000000000000000e+00,-1.261804799999999993e+01,-4.889493600000000129e+01,-6.309023999999999965e+00,-2.050432800000000100e+01,-9.463535999999999504e+00,-1.167169440000000122e+02
1.577256000000000213e+01,6.309023999999999965e+00,-5.678121600000000058e+01,6.309023999999999965e+00,6.309023999999999077e+00,1.577255999999998437e+00,-1.072534080000000074e+02
-1.577256000000000213e+00,-1.104079199999999972e+01,-7.097651999999999362e+01,-7.886279999999999291e+00,-1.577255999999998437e+00,1.577255999999999325e+00,-1.135624320000000012e+02
-7.886280000000000179e+00,-2.208158399999999943e+01,-8.044005599999999845e+01,-7.886279999999999291e+00,-1.261804799999999815e+01,-6.309024000000000854e+00,-1.072534080000000074e+02
-1.734981600000000057e+01,4.731768000000000640e+00,-8.044005600000001266e+01,-4.731767999999999752e+00,-6.309023999999999077e+00,-9.463535999999997728e+00,-9.621261599999999703e+01
2.365884000000000142e+01,1.104079199999999972e+01,-5.520396000000000214e+01,-1.577255999999999858e+01,2.050432800000000100e+01,-1.577256000000000036e+01,-1.151396880000000067e+02
-7.886279999999999291e+00,-3.154511999999999539e+00,-7.570828800000001024e+01,3.154511999999999539e+00,6.309023999999999077e+00,0.000000000000000000e+00,-1.167169440000000122e+02
-1.577256000000000213e+01,0.000000000000000000e+00,-7.570828799999999603e+01,6.309023999999999077e+00,1.734981600000000057e+01,-3.154512000000000427e+00,-1.104079200000000043e+02
-1.104079199999999972e+01,-7.886279999999999291e+00,-5.835847200000000612e+01,9.463535999999999504e+00,9.463535999999999504e+00,-1.577256000000000213e+00,-1.198714559999999949e+02
-1.261804799999999993e+01,-1.104079199999999972e+01,-7.570828800000001024e+01,1.261804799999999993e+01,-3.154511999999999983e+00,4.731767999999998864e+00,-1.167169440000000122e+02
1.104079199999999972e+01,4.731767999999999752e+00,-6.151298400000000299e+01,3.154511999999999983e+00,1.419530400000000014e+01,-6.309023999999999965e+00,-1.167169440000000122e+02
-1.104079199999999972e+01,-1.261804799999999993e+01,-6.939926400000000228e+01,-1.104079199999999972e+01,6.309023999999999965e+00,-7.886280000000001067e+00,-1.277577360000000084e+02
-1.419530400000000014e+01,-4.731767999999998864e+00,-6.309024000000000143e+01,1.104079199999999972e+01,-1.419530400000000014e+01,1.577256000000000213e+01,-1.009443840000000137e+02
-1.261804799999999815e+01,-9.463536000000001280e+00,-8.517182400000000086e+01,-1.261804799999999993e+01,3.154511999999999539e+00,-1.104079199999999972e+01,-1.167169440000000122e+02
-6.309023999999999965e+00,-1.734981600000000057e+01,-7.570828800000001024e+01,3.154511999999999983e+00,1.261804799999999993e+01,-7.886280000000000179e+00,-1.309122480000000053e+02
3.154512000000000072e+01,-1.261804799999999993e+01,-5.835847200000000612e+01,-7.886279999999999291e+00,4.731767999999999752e+00,-4.731767999999999752e+00,-1.340667600000000164e+02
