"current.0","current.1","current.2","current.3","current.4","current.5","current.6","current.7","current.8","current.9"
9.453287999999998803e+00,1.417993199999999909e+01,1.417993199999999909e+01,6.302191999999999794e+00,-1.733102799999999988e+01,-1.260438399999999959e+01,7.877739999999999299e+00,3.151095999999999897e+00,0.000000000000000000e+00,-1.102883600000000008e+01
7.877739999999999299e+00,2.048212399999999889e+01,2.205767200000000017e+01,7.877740000000000187e+00,1.733102799999999988e+01,-1.575548000000000393e+00,-4.726644000000000290e+00,1.102883600000000008e+01,0.000000000000000000e+00,-1.575547999999999504e+00
-1.575547999999999504e+00,1.417993200000000087e+01,2.678431600000000046e+01,4.726644000000000290e+00,7.877740000000000187e+00,0.000000000000000000e+00,-2.205767200000000017e+01,6.302191999999999794e+00,-1.575548000000000037e+01,-7.877740000000000187e+00
-1.102883600000000008e+01,1.260438399999999959e+01,1.260438399999999959e+01,1.417993200000000087e+01,-7.877740000000000187e+00,-1.417993199999999909e+01,-9.453288000000000579e+00,6.302192000000000682e+00,1.575548000000000037e+01,-1.260438399999999959e+01
3.151096000000000075e+01,2.048212399999999889e+01,9.453288000000000579e+00,-3.151095999999999897e+00,0.000000000000000000e+00,1.575547999999999949e+00,3.151095999999999897e+00,-1.575548000000000037e+01,6.302192000000000682e+00,-1.260438399999999959e+01
-1.102883600000000008e+01,2.520876799999999918e+01,0.000000000000000000e+00,2.048212400000000244e+01,9.453288000000000579e+00,-7.877740000000000187e+00,1.417993200000000087e+01,7.877740000000000187e+00,3.151095999999999897e+00,1.417993200000000087e+01
-1.260438399999999959e+01,1.890657600000000116e+01,1.260438399999999959e+01,-4.726644000000000290e+00,1.575548000000000037e+01,1.102883600000000008e+01,-1.417993200000000087e+01,1.575548000000000037e+01,0.000000000000000000e+00,-1.417993200000000087e+01
4.726644000000000290e+00,2.205767200000000017e+01,7.877740000000000187e+00,-3.151096000000000341e+00,0.000000000000000000e+00,-1.575547999999999949e+00,0.000000000000000000e+00,-1.575547999999999949e+00,-7.877740000000001075e+00,-6.302191999999999794e+00
-9.453287999999998803e+00,2.363322000000000145e+01,-1.575548000000000393e+00,1.733102799999999988e+01,1.260438399999999959e+01,4.726644000000000290e+00,2.048212399999999889e+01,0.000000000000000000e+00,3.151095999999999009e+00,-7.877739999999999299e+00
-1.575548000000000393e+00,6.302191999999999794e+00,6.302191999999999794e+00,-1.575547999999999949e+00,4.726644000000000290e+00,3.151095999999999719e+01,-1.102883600000000008e+01,-3.151095999999999897e+00,4.726644000000000290e+00,4.726644000000000290e+00
3.151096000000000785e+00,0.000000000000000000e+00,1.102883599999999831e+01,-2.678431600000000046e+01,6.302191999999999794e+00,1.102883600000000008e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.877740000000000187e+00,6.302191999999999794e+00
2.678431600000000046e+01,9.453287999999998803e+00,9.453288000000000579e+00,1.102883600000000008e+01,4.726644000000000290e+00,-1.102883599999999831e+01,-9.453288000000000579e+00,6.302191999999999794e+00,0.000000000000000000e+00,3.151096000000000785e+00
7.877740000000000187e+00,-4.726643999999999401e+00,0.000000000000000000e+00,4.726644000000000290e+00,-6.302191999999999794e+00,3.151095999999999897e+00,-1.260438399999999959e+01,-1.102883600000000008e+01,1.575548000000000393e+00,3.151096000000000785e+00
