"current.0","current.1","current.2","current.3","current.4","current.5","current.6","current.7","current.8","current.9"
-1.104079199999999972e+01,7.886279999999999291e+00,1.419530400000000014e+01,-1.734981599999999702e+01,-1.734981600000000057e+01,0.000000000000000000e+00,-1.104079199999999972e+01,1.577256000000000213e+00,-1.734981600000000057e+01,-9.463535999999999504e+00
3.154511999999999983e+00,1.104079199999999972e+01,-1.734981599999999702e+01,4.731767999999999752e+00,0.000000000000000000e+00,2.365883999999999787e+01,-1.104079199999999972e+01,-9.463535999999999504e+00,-2.050432799999999745e+01,-2.208158399999999943e+01
-4.731767999999999752e+00,-1.577255999999999769e+00,6.309023999999999965e+00,-1.577255999999999325e+00,3.154511999999999539e+00,7.886279999999999291e+00,-6.309023999999999077e+00,1.734981599999999702e+01,-3.154511999999999983e+00,4.731767999999999752e+00
9.463535999999999504e+00,-1.419530400000000014e+01,0.000000000000000000e+00,-4.731767999999999752e+00,-7.886279999999999291e+00,6.309023999999999077e+00,1.734981599999999702e+01,-1.577255999999999991e+00,3.154511999999999539e+00,1.892707199999999901e+01
7.886279999999999291e+00,2.050432799999999745e+01,1.734981600000000057e+01,4.731767999999999752e+00,2.839060800000000029e+01,-2.208158399999999943e+01,-4.731767999999998864e+00,3.154511999999999983e+00,-6.309023999999999965e+00,-6.309023999999999965e+00
-3.154511999999999983e+00,9.463535999999999504e+00,9.463535999999999504e+00,9.463535999999999504e+00,1.419530400000000014e+01,-1.261804799999999815e+01,-7.886280000000000179e+00,-7.886280000000000179e+00,-1.577256000000000213e+00,-4.731767999999999752e+00
-7.886279999999999291e+00,6.309023999999999965e+00,-1.104079199999999972e+01,6.309023999999999965e+00,-7.886279999999999291e+00,-9.463535999999999504e+00,1.419530400000000014e+01,3.154511999999999539e+00,-2.681335199999999830e+01,-4.731767999999999752e+00
-7.886279999999999291e+00,-2.050432799999999745e+01,9.463535999999999504e+00,-1.892707199999999901e+01,1.577255999999999858e+01,7.886279999999999291e+00,-2.208158399999999943e+01,-6.309023999999999965e+00,6.309023999999999077e+00,-1.419530400000000014e+01
-1.892707199999999901e+01,-1.577255999999999769e+00,1.261804799999999993e+01,3.154511999999999983e+00,-6.309023999999999965e+00,7.886279999999999291e+00,-6.309023999999999077e+00,-3.154511999999999983e+00,-1.577255999999999991e+00,1.419530400000000014e+01
6.309023999999999965e+00,3.154511999999999983e+00,0.000000000000000000e+00,-1.577255999999999769e+00,1.577255999999999991e+00,1.577255999999999325e+00,-1.419530400000000014e+01,3.154511999999999539e+00,-4.731767999999999752e+00,-1.577255999999999991e+00
0.000000000000000000e+00,-9.463535999999999504e+00,9.463535999999999504e+00,1.104079199999999972e+01,-1.577255999999999991e+00,-6.309023999999999965e+00,0.000000000000000000e+00,-6.309023999999999077e+00,1.734981600000000057e+01,6.309023999999999965e+00
7.886279999999999291e+00,2.523609599999999986e+01,1.261804799999999993e+01,-7.886279999999999291e+00,9.463535999999999504e+00,-7.886279999999999291e+00,-9.463535999999999504e+00,1.577255999999999769e+00,-2.208158399999999943e+01,-1.577255999999999858e+01
1.577256000000000036e+01,1.577255999999999325e+00,1.577256000000000213e+00,-7.886279999999999291e+00,1.734981600000000057e+01,-6.309023999999999965e+00,4.731767999999999752e+00,-1.419530400000000014e+01,-4.731767999999998864e+00,-3.154511999999999983e+00
1.261804799999999815e+01,2.523609599999999986e+01,0.000000000000000000e+00,-2.681335199999999830e+01,-3.154511999999999983e+00,1.261804799999999993e+01,-3.154511999999999983e+00,2.050432800000000100e+01,6.309023999999999077e+00,-1.577255999999999325e+00
-6.309023999999999077e+00,1.261804799999999993e+01,-1.419530400000000014e+01,-2.365883999999999787e+01,4.731767999999999752e+00,3.154511999999999539e+00,-6.309023999999999965e+00,-1.419530400000000014e+01,1.104079199999999972e+01,0.000000000000000000e+00
6.309023999999999965e+00,1.577255999999999858e+01,1.577255999999999991e+00,-9.463535999999997728e+00,2.050432800000000100e+01,1.104079199999999972e+01,6.309023999999999965e+00,-7.886279999999999291e+00,-1.104079199999999972e+01,9.463535999999999504e+00
1.419530400000000014e+01,-1.577255999999999858e+01,-9.463535999999999504e+00,4.731767999999999752e+00,-3.154511999999999983e+00,-7.886279999999999291e+00,1.577256000000000213e+00,7.886279999999999291e+00,-1.577255999999999991e+00,-2.839060800000000029e+01
3.154511999999999983e+00,1.261804799999999993e+01,4.731767999999999752e+00,-1.577255999999999991e+00,-3.154511999999999983e+00,6.309023999999999077e+00,-1.577255999999999769e+00,6.309023999999999965e+00,-4.731767999999999752e+00,-3.154512000000000427e+00
-9.463535999999999504e+00,-3.154511999999999983e+00,-1.419530400000000014e+01,9.463535999999999504e+00,0.000000000000000000e+00,-2.839060800000000029e+01,1.104079199999999972e+01,-1.577256000000000036e+01,-4.731767999999998864e+00,-2.208158399999999943e+01
-1.892707199999999901e+01,4.731767999999998864e+00,1.892707199999999901e+01,-2.050432800000000100e+01,0.000000000000000000e+00,-2.208158399999999943e+01,-3.154511999999999983e+00,-9.463535999999999504e+00,-4.731767999999999752e+00,0.000000000000000000e+00
1.104079199999999972e+01,9.463536000000001280e+00,1.892707199999999901e+01,1.261804799999999993e+01,1.419530400000000014e+01,6.309023999999999077e+00,-1.419530400000000014e+01,6.309023999999999965e+00,-1.261804799999999993e+01,-3.154511999999999539e+00
